Clusters populated to vertex count of: 76268
Clusters: [0=[20000000, 25330], 1=[20000000, 25574], 2=[20000000, 25364]]
Running test queries
[main] WARN org.janusgraph.graphdb.transaction.StandardJanusGraphTx - Query requires iterating over all vertices [()]. For better performance, use indexes
Vertex count: 76268, Max degree: 1251, Avg. degree: 23,28
Successfully added the log graph schema
Loading the log to graph
Edges added: 1256422
[main] WARN org.janusgraph.graphdb.transaction.StandardJanusGraphTx - Query requires iterating over all vertices [()]. For better performance, use indexes
Edges overall: 2403874
[main] WARN org.janusgraph.graphdb.transaction.StandardJanusGraphTx - Query requires iterating over all vertices [()]. For better performance, use indexes
[main] WARN org.janusgraph.graphdb.transaction.StandardJanusGraphTx - Query requires iterating over all vertices [()]. For better performance, use indexes
Staring Vaquero partitioning - cF=0,990, iF=1,000, nClusters=3, aProb=0,50
Clusters INIT Lower Bound: [0=-92, 1=151, 2=-58]
Cooling factor: 0,990
It.		Temp		tRatio		Impr.		pSwitch		Good		Cross		Sum		sCount		Time
112		0,655		0,33		0,653		0,66		1178825		355451		1534276		49925		21,55s
113		0,649		0,32		0,653		0,66		1179084		355192		1534276		49923		17,93s
114		0,642		0,32		0,653		0,66		1179221		355055		1534276		49926		21,31s
115		0,636		0,32		0,653		0,66		1179229		355047		1534276		49922		19,12s
116		0,630		0,31		0,653		0,66		1179419		354857		1534276		49923		22,17s
117		0,623		0,31		0,653		0,66		1179448		354828		1534276		49926		17,94s
118		0,617		0,31		0,653		0,65		1179465		354811		1534276		49926		22,52s
119		0,611		0,31		0,654		0,65		1179722		354554		1534276		49926		18,22s
120		0,605		0,30		0,654		0,65		1180411		353865		1534276		49925		23,19s
121		0,599		0,30		0,654		0,65		1180476		353800		1534276		49929		17,61s
122		0,593		0,30		0,655		0,65		1180666		353610		1534276		49928		23,44s
123		0,587		0,29		0,655		0,65		1180720		353556		1534276		49925		18,43s
124		0,581		0,29		0,655		0,65		1181329		352947		1534276		49925		22,14s
125		0,575		0,29		0,655		0,64		1181626		352650		1534276		49928		17,99s
126		0,569		0,28		0,656		0,64		1181788		352488		1534276		49929		22,61s
127		0,564		0,28		0,656		0,64		1182080		352196		1534276		49928		18,39s
128		0,558		0,28		0,656		0,64		1182346		351930		1534276		49931		22,08s
129		0,553		0,28		0,656		0,64		1182628		351648		1534276		49932		18,44s
130		0,547		0,27		0,657		0,64		1182757		351519		1534276		49928		21,54s
131		0,542		0,27		0,657		0,64		1182848		351428		1534276		49924		18,63s
132		0,536		0,27		0,657		0,63		1182915		351361		1534276		49923		24,27s
133		0,531		0,27		0,657		0,63		1182926		351350		1534276		49920		18,11s
134		0,525		0,26		0,657		0,63		1182972		351304		1534276		49918		21,05s
135		0,520		0,26		0,657		0,63		1183090		351186		1534276		49918		18,19s
136		0,515		0,26		0,657		0,63		1183131		351145		1534276		49919		22,18s
137		0,510		0,25		0,657		0,63		1183183		351093		1534276		49919		18,09s
138		0,505		0,25		0,657		0,63		1183260		351016		1534276		49920		22,61s
139		0,500		0,25		0,657		0,62		1183284		350992		1534276		49917		17,84s
140		0,495		0,25		0,657		0,62		1183456		350820		1534276		49918		23,65s
141		0,490		0,24		0,658		0,62		1183842		350434		1534276		49915		17,59s
142		0,485		0,24		0,658		0,62		1184102		350174		1534276		49915		21,53s
143		0,480		0,24		0,658		0,62		1184117		350159		1534276		49921		17,70s
144		0,475		0,24		0,658		0,62		1184467		349809		1534276		49922		22,71s
145		0,470		0,24		0,659		0,62		1184857		349419		1534276		49919		17,61s
146		0,466		0,23		0,659		0,62		1184953		349323		1534276		49916		20,98s
147		0,461		0,23		0,659		0,62		1185064		349212		1534276		49916		18,00s
148		0,456		0,23		0,659		0,61		1185350		348926		1534276		49911		23,04s
149		0,452		0,23		0,659		0,61		1185479		348797		1534276		49908		17,70s
150		0,447		0,22		0,659		0,61		1185499		348777		1534276		49907		21,13s
